keys,en,de
LANGUAGE,English,Deutsch
TIMING_ERROR,Internal timing error,Interner Timing-Fehler
TRAINING_COMPLETE,Training completed!,Übungsblock beendet!
EXPERIMENT_COMPLETE,Experiment completed!,Experiment beendet!
TOO_SLOW_MOVE,Please try to get to the\n second room a little faster,Bitte bewege Dich etwas schneller\n in den zweiten Raum
TOO_SLOW_RESPONSE,Please respond a little faster,Bitte antworte etwas schneller
SAME,SAME,GLEICH
DIFF,DIFF,VERSCH
CERTAINLY_WRONG,ERROR-3,ERROR-3
PROBABLY_WRONG,guess,geraten
MAYBE_WRONG,not\nconfident,nicht\nsicher
MAYBE_CORRECT,quite\nconfident,ziemlich\nsicher
PROBABLY_CORRECT,very\nconfident,sehr\nsicher
CERTAINLY_CORRECT,ERROR+3,ERROR+3
